#x y_true y_numerov
4.9487 4.76064e-05 4.76064e-05 
4.9486 4.7629e-05 4.7629e-05 
4.9485 4.76516e-05 4.76516e-05 
4.9484 4.76742e-05 4.76742e-05 
4.9483 4.76969e-05 4.76969e-05 
4.9482 4.77195e-05 4.77195e-05 
4.9481 4.77421e-05 4.77421e-05 
4.948 4.77648e-05 4.77648e-05 
4.9479 4.77875e-05 4.77875e-05 
4.9478 4.78102e-05 4.78102e-05 
4.9477 4.78329e-05 4.78329e-05 
4.9476 4.78556e-05 4.78556e-05 
4.9475 4.78783e-05 4.78783e-05 
4.9474 4.7901e-05 4.7901e-05 
4.9473 4.79237e-05 4.79237e-05 
4.9472 4.79465e-05 4.79465e-05 
4.9471 4.79692e-05 4.79692e-05 
4.947 4.7992e-05 4.7992e-05 
4.9469 4.80148e-05 4.80148e-05 
4.9468 4.80376e-05 4.80376e-05 
4.9467 4.80604e-05 4.80604e-05 
4.9466 4.80832e-05 4.80832e-05 
4.9465 4.8106e-05 4.8106e-05 
4.9464 4.81288e-05 4.81288e-05 
4.9463 4.81517e-05 4.81517e-05 
4.9462 4.81745e-05 4.81745e-05 
4.9461 4.81974e-05 4.81974e-05 
4.946 4.82202e-05 4.82202e-05 
4.9459 4.82431e-05 4.82431e-05 
4.9458 4.8266e-05 4.8266e-05 
4.9457 4.82889e-05 4.82889e-05 
4.9456 4.83118e-05 4.83118e-05 
4.9455 4.83347e-05 4.83347e-05 
4.9454 4.83577e-05 4.83577e-05 
4.9453 4.83806e-05 4.83806e-05 
4.9452 4.84036e-05 4.84036e-05 
4.9451 4.84265e-05 4.84265e-05 
4.945 4.84495e-05 4.84495e-05 
4.9449 4.84725e-05 4.84725e-05 
4.9448 4.84955e-05 4.84955e-05 
4.9447 4.85185e-05 4.85185e-05 
4.9446 4.85415e-05 4.85415e-05 
4.9445 4.85645e-05 4.85645e-05 
4.9444 4.85876e-05 4.85876e-05 
4.9443 4.86106e-05 4.86106e-05 
4.9442 4.86337e-05 4.86337e-05 
4.9441 4.86567e-05 4.86567e-05 
4.944 4.86798e-05 4.86798e-05 
4.9439 4.87029e-05 4.87029e-05 
4.9438 4.8726e-05 4.8726e-05 
4.9437 4.87491e-05 4.87491e-05 
4.9436 4.87722e-05 4.87722e-05 
4.9435 4.87954e-05 4.87954e-05 
4.9434 4.88185e-05 4.88185e-05 
4.9433 4.88416e-05 4.88416e-05 
4.9432 4.88648e-05 4.88648e-05 
4.9431 4.8888e-05 4.8888e-05 
4.943 4.89112e-05 4.89112e-05 
4.9429 4.89344e-05 4.89344e-05 
4.9428 4.89576e-05 4.89576e-05 
4.9427 4.89808e-05 4.89808e-05 
4.9426 4.9004e-05 4.9004e-05 
4.9425 4.90272e-05 4.90272e-05 
4.9424 4.90505e-05 4.90505e-05 
4.9423 4.90737e-05 4.90737e-05 
4.9422 4.9097e-05 4.9097e-05 
4.9421 4.91203e-05 4.91203e-05 
4.942 4.91436e-05 4.91436e-05 
4.9419 4.91669e-05 4.91669e-05 
4.9418 4.91902e-05 4.91902e-05 
4.9417 4.92135e-05 4.92135e-05 
4.9416 4.92368e-05 4.92368e-05 
4.9415 4.92602e-05 4.92602e-05 
4.9414 4.92835e-05 4.92835e-05 
4.9413 4.93069e-05 4.93069e-05 
4.9412 4.93302e-05 4.93302e-05 
4.9411 4.93536e-05 4.93536e-05 
4.941 4.9377e-05 4.9377e-05 
4.9409 4.94004e-05 4.94004e-05 
4.9408 4.94238e-05 4.94238e-05 
4.9407 4.94473e-05 4.94473e-05 
4.9406 4.94707e-05 4.94707e-05 
4.9405 4.94941e-05 4.94941e-05 
4.9404 4.95176e-05 4.95176e-05 
4.9403 4.95411e-05 4.95411e-05 
4.9402 4.95645e-05 4.95645e-05 
