#E sigma_tot
0.620132 33.8907
0.620747 33.8838
0.621363 33.876
0.621978 33.8693
0.622593 33.8615
0.623208 33.8537
0.623824 33.8472
0.624439 33.8395
0.625054 33.8318
0.625669 33.8254
0.626285 33.8178
0.6269 33.8102
0.627515 33.804
0.628131 33.7964
0.628746 33.7888
0.629361 33.7828
0.629976 33.7753
0.630592 33.7678
0.631207 33.7619
0.631822 33.7545
0.632437 33.747
0.633053 33.7413
0.633668 33.7339
0.634283 33.7265
0.634898 33.721
0.635514 33.7136
0.636129 33.7063
0.636744 33.7008
0.637359 33.6935
0.637975 33.6862
0.63859 33.679
0.639205 33.6737
0.63982 33.6664
0.640436 33.6592
0.641051 33.654
0.641666 33.6468
0.642281 33.6396
0.642897 33.6324
0.643512 33.6274
0.644127 33.6202
0.644742 33.613
0.645358 33.6059
0.645973 33.6009
0.646588 33.5938
0.647203 33.5867
0.647819 33.5796
0.648434 33.5747
0.649049 33.5676
0.649664 33.5605
0.65028 33.5534
0.650895 33.5463
0.65151 33.5415
0.652125 33.5344
0.652741 33.5274
0.653356 33.5203
0.653971 33.5155
0.654586 33.5084
0.655202 33.5014
0.655817 33.4943
0.656432 33.4873
0.657047 33.4825
0.657663 33.4754
0.658278 33.4684
0.658893 33.4613
0.659508 33.4542
0.660124 33.4472
0.660739 33.4423
0.661354 33.4353
0.661969 33.4282
0.662585 33.4211
0.6632 33.414
0.663815 33.4069
0.664431 33.402
0.665046 33.3949
0.665661 33.3878
0.666276 33.3807
0.666892 33.3736
0.667507 33.3664
0.668122 33.3614
0.668737 33.3542
0.669353 33.347
0.669968 33.3398
0.670583 33.3327
0.671198 33.3255
0.671814 33.3182
0.672429 33.311
0.673044 33.3057
0.673659 33.2985
0.674275 33.2912
0.67489 33.2839
0.675505 33.2766
0.67612 33.2693
0.676736 33.2619
0.677351 33.2546
